Sales	Enterprise CRM platform for sales automation and customer relationship management	Optimize
G&A	Corporate travel and expense management platform	Consolidate
Finance	Global accounting and audit professional services firm	Consolidate
G&A	Commercial office space and real estate provider	Consolidate
Engineering	Cloud infrastructure and technology services provider	Optimize
G&A	Commercial office building and workspace provider in Zagreb	Consolidate
G&A	Flexible workspace and office solutions provider in India	Consolidate
G&A	Commercial property management and workspace provider	Consolidate
Finance	Commercial insurance brokerage services	Optimize
G&A	Office space and commercial real estate provider	Consolidate
HR	Employee health insurance and benefits provider	Optimize
Finance	Corporate finance advisory and M&A services	Optimize
Engineering	Cloud computing infrastructure and platform services	Consolidate
Engineering	Global telecommunications and connectivity services	Consolidate
HR	HR consulting and workforce management services	Optimize
Finance	Financial advisory and consulting services	Consolidate
Legal	Corporate and commercial legal services firm	Optimize
Engineering	IT consulting and software development services	Optimize
Marketing	Creative agency and brand marketing services	Optimize
Finance	Financial services and investment advisory	Consolidate
G&A	Flexible coworking space and office solutions	Consolidate
Engineering	Cloud consulting and Google Cloud implementation partner	Consolidate
G&A	Corporate travel booking and expense management (duplicate entity)	Consolidate
Engineering	Telecom industry association and standards organization	Optimize
HR	Professional networking and recruitment platform	Optimize
Finance	Professional services automation and PSA software	Optimize
Finance	Accounting and financial management software	Consolidate
Finance	Audit accounting and advisory professional services	Consolidate
G&A	University student center venue and event space in Zagreb	Optimize
Finance	Virtual data room and secure document sharing for M&A	Optimize
Engineering	Software development and IT services company	Optimize
Legal	Legal training and paralegal staffing services	Optimize
HR	Salesforce recruitment and staffing agency	Consolidate
Finance	Investment banking and financial advisory services	Optimize
Finance	Private equity and investment management firm	Terminate
Marketing	Marketing automation and CRM platform	Consolidate
G&A	Business services and administrative support provider	Optimize
Finance	Financial planning and analysis (FP&A) software platform	Optimize
Sales	B2B sales intelligence and lead generation platform	Consolidate
Marketing	Content experience and marketing platform	Terminate
HR	Life insurance provider for employee benefits	Consolidate
Engineering	Cloud services advertising and productivity tools	Optimize
Legal	Croatian law firm for corporate legal services	Optimize
HR	Employee health insurance provider	Consolidate
Engineering	Network infrastructure and IT services	Consolidate
HR	International health insurance and benefits provider	Consolidate
Engineering	IT solutions and software development services	Optimize
HR	IT staffing and technical recruitment agency	Consolidate
Marketing	Programmatic advertising and marketing analytics	Terminate
HR	Recruitment and staffing agency	Consolidate
Finance	International tax and accounting consulting	Optimize
Engineering	Telecommunications and internet services in Croatia	Consolidate
G&A	Food services and facilities management	Optimize
HR	Employee engagement and feedback platform	Optimize
Marketing	Digital marketing and SEO services	Terminate
G&A	Business process outsourcing and support services	Optimize
G&A	Commercial real estate and property management	Consolidate
Engineering	Enterprise automation and integration platform	Optimize
G&A	Retail grocery and office supplies provider	Optimize
Finance	Financial advisory and consulting services	Consolidate
G&A	Office space and coworking solutions in India	Consolidate
Finance	Tax preparation and compliance services	Consolidate
G&A	Facilities and office services provider	Optimize
Engineering	Computer systems and IT equipment supplier	Optimize
G&A	Business services and administrative support	Optimize
Finance	R&D tax credits and grant funding consultancy	Optimize
HR	Health insurance and employee benefits provider	Consolidate
Finance	Accounting and tax advisory services	Consolidate
HR	Health insurance provider in Australia	Consolidate
Finance	Management consulting and advisory services	Consolidate
G&A	Zagreb city government - permits and urban planning	Optimize
G&A	Business consulting and advisory services	Terminate
G&A	General business services provider	Optimize
HR	Immigration and visa services for employees	Optimize
G&A	Hotel and venue for corporate events	Optimize
HR	Executive search and recruitment firm	Consolidate
HR	Leadership development and training consultancy	Optimize
HR	Performance management software platform	Optimize
Engineering	Software licenses and cloud services (Microsoft 365 Azure)	Optimize
G&A	Corporate catering and food services	Consolidate
G&A	Business services and office support provider	Optimize
Sales	Sales engagement and automation platform	Consolidate
G&A	Commercial real estate services and property management	Consolidate
G&A	Student center venue for events in Split	Consolidate
Marketing	News media advertising and recruitment ads	Terminate
Finance	Corporate secretarial and trust services	Optimize
Engineering	Video conferencing and remote collaboration tools	Consolidate
HR	HR consulting and international payroll services	Consolidate
Engineering	Project management and collaboration tool	Consolidate
G&A	Cleaning and facility maintenance services	Optimize
Engineering	Telecommunications procurement services	Consolidate
HR	Workers compensation insurance provider	Optimize
HR	General insurance and employee coverage provider	Consolidate
Marketing	Creative design and branding agency	Optimize
G&A	Office supplies and business equipment provider	Optimize
HR	HR consulting and employee benefits advisory	Consolidate
Finance	Corporate services and business registration	Consolidate
HR	Employee bicycle and green commute benefit scheme	Optimize
G&A	Restaurant for client entertainment and team events	Optimize
